name,price,price_old,sale,url
Диван угловой Слипсон Velvet Milk,64 990,93 990,-30%,https://www.divan.ru/product/divan-uglovoj-slipson-velvet-milk
Диван угловой Биани-1 Barhat Beige,79 990,106 990,-25%,https://www.divan.ru/product/divan-uglovoj-biani-1-barhat-beige
Диван угловой Харинг Soft Night,89 990,119 990,-25%,https://www.divan.ru/product/divan-uglovoj-haring-soft-night
Диван Нумо Velvet Grey,39 990,51 190,-21%,https://www.divan.ru/product/divan-numo-velvet-grey
Модульный диван Brera-5 Velour Stone,114 980,0,нет скидки,https://www.divan.ru/product/modulnyj-divan-brera-5-velour-stone
Диван Льери Barhat Mint,79 990,114 990,-30%,https://www.divan.ru/product/divan-leri-barhat-mint
Диван Рейли Velvet Yellow,30 990,38 990,-20%,https://www.divan.ru/product/divan-rejli-velvet-yellow
Диван Пайпел-3 Bucle Yellow,54 990,68 990,-20%,https://www.divan.ru/product/divan-pajpel-3-bucle-yellow
Диван Тут Рядом Космос Графитовый,109 990,0,нет скидки,https://www.divan.ru/product/divan-tut-ryadom-kosmos-grafitovyj
Диван Боско-2 Land Grey,38 990,42 990,-9%,https://www.divan.ru/product/divan-bosko-2-land-grey
Диван Риард-2 Land Stone,38 990,41 990,-7%,https://www.divan.ru/product/divan-riard-2-land-stone
Диван Риббл-2 Bucle White,68 990,0,нет скидки,https://www.divan.ru/product/divan-ribbl-2-bucle-white
Диван угловой Дарол Velvet Latte,59 990,85 990,-30%,https://www.divan.ru/product/divan-uglovoj-darol-velvet-latte
Диван угловой Динс Velvet Emerald,54 990,84 990,-35%,https://www.divan.ru/product/divan-uglovoj-dins-velvet-emerald-new
Диван Марей Soft Latte,89 990,112 990,-20%,https://www.divan.ru/product/divan-marej-soft-latte
Диван угловой Эби-1 Velvet Olive,69 990,104 990,-33%,https://www.divan.ru/product/divan-uglovoj-ebi-1-velvet-olive
Модульный диван Полан-5 Velvet Light,129 950,143 950,-9%,https://www.divan.ru/product/modulnyj-divan-polan-5-velvet-light
Диван угловой Динс Velvet Milk,54 990,84 990,-35%,https://www.divan.ru/product/divan-uglovoj-dins-velvet-milk
Диван Линс Velvet Latte,29 990,45 990,-34%,https://www.divan.ru/product/divan-lins-velvet-latte
Диван угловой Эби-2 Velvet Olive,102 990,134 990,-23%,https://www.divan.ru/product/divan-uglovoj-ebi-2-velvet-olive
Диван Риард-2 Land Black,38 990,41 990,-7%,https://www.divan.ru/product/divan-riard-2-land-black
Диван Ольен Velvet Latte,69 990,86 990,-19%,https://www.divan.ru/product/divan-olen-velvet-latte
Диван Сите-2 Velvet Moss,26 990,32 990,-18%,https://www.divan.ru/product/divan-site-2-velvet-moss
Диван Эби Velvet Coral,62 990,96 990,-35%,https://www.divan.ru/product/divan-ebi-velvet-coral
Диван угловой Харинг Soft Terra,89 990,119 990,-25%,https://www.divan.ru/product/divan-uglovoj-haring-soft-terra
Диван Клаймар Velvet Stone,59 990,75 990,-21%,https://www.divan.ru/product/divan-klajmar-velvet-stone
Диван угловой Льери Barhat Mint,94 990,118 990,-20%,https://www.divan.ru/product/divan-uglovoj-leri-barhat-mint
Диван Эби Velvet Light,62 990,96 990,-35%,https://www.divan.ru/product/divan-ebi-velvet-light
Диван Лесли Velvet Yellow,46 990,66 990,-29%,https://www.divan.ru/product/divan-lesli-velvet-yellow
Диван Дара Velvet Latte,39 990,61 990,-35%,https://www.divan.ru/product/divan-dara-velvet-latte
Диван угловой Эдвин Velvet Stone,72 990,91 990,-20%,https://www.divan.ru/product/divan-uglovoj-edvin-velvet-stone
Диван угловой Лаберт Barhat Grafit,99 990,142 990,-30%,https://www.divan.ru/product/divan-uglovoj-labert-barhat-grafit
Диван угловой Льери Barhat Emerald,94 990,118 990,-20%,https://www.divan.ru/product/divan-uglovoj-leri-barhat-emerald
Диван Пайпел Bucle White,49 990,62 990,-20%,https://www.divan.ru/product/divan-pajpel-bucle-white
Диван Боско-2 Land Blue,38 990,42 990,-9%,https://www.divan.ru/product/divan-bosko-2-land-blue
Модульный диван Полан-2 Cozy Ivory,101 960,110 460,-7%,https://www.divan.ru/product/modulnyj-divan-polan-2-cozy-ivory
Диван угловой Дисент-2 Velvet Stone,109 990,122 990,-10%,https://www.divan.ru/product/divan-uglovoj-disent-2-velvet-stone
Диван угловой Харинг Soft Milk,89 990,119 990,-25%,https://www.divan.ru/product/divan-uglovoj-haring-soft-milk
Диван Дисент Velvet Stone,79 990,106 990,-25%,https://www.divan.ru/product/divan-disent-velvet-stone
